drug name	indication
paliperidone	schizophrenia
palonosetron	nausea
palonosetron	vomiting
pamabrom	bloating
pamidronate	hypercalcemia
pamidronate	Paget's disease
pamidronate	breast cancer
pamidronate	multiple myeloma
pancuronium	endotracheal intubation
pancuronium	muscle relaxant
panobinostat	multiple myeloma
pantoprazole	gastroesophageal reflux disease (GERD)
pantoprazole	erosive esophagitis (EE)
pantoprazole	Zollinger-Ellison syndrome
papaverine	myocardial infarction
papaverine	angina pectoris
papaverine	pulmonary embolism (PE)
papaverine	colitis
papaverine	vascular spasm
paracetamol	pain relief
paracetamol	fever
parachlorophenol	first-aid antiseptic
paramethadione	seizures
parecoxib	pain relief
pargyline	hypertension
paricalcitol	chronic kidney disease (CKD)
paricalcitol	hyperthyroidism
paritaprevir	hepatitis C
paromomycin	amebiasis
paroxetine	depression
paroxetine	obsessive compulsive disorder (OCD)
paroxetine	generalized anxiety disorder (GAD)
paroxetine	panic disorders
paroxetine	posttraumatic stress disorder
paroxetine	social anxiety disorder
pasireotide	Cushing's syndrome
pasireotide	acromegaly
pazopanib	renal cell carcinoma (RCC)
pazopanib	soft tissue sarcoma (STS)
pazufloxacin	pneumonia
pazufloxacin	peritonitis
pazufloxacin	bacterial septicemia
peficitinib	rheumatoid arthritis
pefloxacin	gastrointestinal infections
pefloxacin	urethritis
pefloxacin	gonorrhea
pefloxacin	urinary tract infections
pemetrexed	non-small cell lung cancer (NSCLC)
pemetrexed	mesothelioma
pemirolast	asthma
pempidine	hypertension
penbutolol	hypertension
penciclovir	cold sore
penfluridol	schizophrenia
penicillamine-(d)	Wilson's disease
penicillamine-(d)	rheumatoid arthritis
penicillamine-(d)	cystinuria
penicillin-v-potassium	pneumonia
penicillin-v-potassium	ear infections
penicillin-v-potassium	skin infections
penicillin-v-potassium	throat infections
penicillin-v-potassium	cholera
penicillin-v-potassium	scarlet fever
pentagastrin	anacidity diagnostic
pentagastrin	gastric hypersecretion diagnostic
pentamidine	pneumonia
pentolinium	hypertension
pentostatin	hairy cell leukemia
pentoxifylline	claudication
peramivir	influenza A virus infection
perchlozone	tuberculosis
perflubron	contrast agent
perfluorodecalin	cosmetic
perhexiline	angina pectoris
perindopril	hypertension
perindopril	myocardial infarction
perindopril	coronary artery disease (CAD)
permethrin	lice
perospirone	schizophrenia
perospirone	bipolar disorder
perphenazine	schizophrenia
perphenazine	nausea
perphenazine	vomiting
pf-06463922	non-small cell lung cancer (NSCLC)
phenacaine	local anesthetic
phenacemide	epilepsy
phenacemide	seizures
phenazone	pain relief
phenazopyridine	urinary tract infections
phenelzine	depression
phenindamine	allergic rhinitis
phenindamine	common cold
phenindione	deep vein thrombosis (DVT)
pheniramine	allergic rhinitis
pheniramine	urticaria
phenol	pharyngitis
phenothrin	lice
phenoxybenzamine	hypertension
phenoxybenzamine	pheochromocytoma
phenprobamate	anxiety
phenprobamate	muscle relaxant
phenprocoumon	thrombosis
phenprocoumon	pulmonary embolism (PE)
phensuximide	seizures
phentolamine	pheochromocytoma
phentolamine	hypertension
phenyl-aminosalicylate	tuberculosis
phenylbenzimidazole-sulfonic-acid	sunscreen lotion
phenylbutyrate	urea cycle disorders
phenylephrine	nasal congestion
phenylephrine	hemorrhoids
phenylephrine	hypotension
phenylpiracetam	anxiety
phenylpiracetam	fatigue
phenylpiracetam	depression
phenyl-salicylate	interstitial cystitis (IC)
phenytoin	seizures
phloroglucin	spasms
phosphatidylcholine	hepatitis B
phosphatidylcholine	hepatitis C
phosphatidylcholine	eczema
phosphatidylcholine	gallbladder disease
phosphatidylcholine	cholesterol
phosphatidylcholine	premenstrual syndrome
phthalylsulfathiazole	dysentry
phthalylsulfathiazole	colitis
physostigmine	hypotension
physostigmine	Alzheimer's disease
physostigmine	glaucoma
physostigmine	gastroparesis
phytonadione	vitamin K deficiency
phytonadione	anticoagulation reversal
picotamide	thrombosis
pidolic-acid	xerosis cutis
pidotimod	immune adjuvant
piketoprofen	pain relief
pilocarpine	glaucoma
pilocarpine	hypertension
pilsicainide	cardiac arrythmia
pimavanserin	Parkinson's Disease
pimecrolimus	eczema
pimethixene	attention-deficit/hyperactivity disorder (ADHD)
pimethixene	anxiety
pimethixene	sleep cycle support
pimethixene	allergic rhinitis
pimobendan	congestive heart failure
pimozide	Tourette's disorder
pinacidil	hypertension
pinaverium	irritable bowel syndrome
pindolol	hypertension
pioglitazone	diabetes mellitus
pipamperone	schizophrenia
pipecuronium	anesthetic
pipemidic-acid	gram-negative bacterial infections
pipenzolate	spasms
piperacetazine	schizophrenia
piperacillin	intra-abdominal infections
piperacillin	skin infections
piperacillin	pelvic inflammatory disease
piperacillin	pneumonia
piperaquine-phosphate	malaria
piperazine	gastrointestinal roundworms
piperidolate	spasms
piperonyl-butoxide	lice
pipobroman	polycythemia vera
pipobroman	thrombocythemia
pipotiazine	schizophrenia
pipotiazine-palmitate	schizophrenia
piracetam	senile dementia
pirarubicin	breast cancer
pirenoxine	cataracts
pirenzepine	peptic ulcer disease (PUD)
piretanide	hypertension
piretanide	edema
pirfenidone	idiopathic pulmonary fibrosis (IPF)
piribedil	Parkinson's Disease
piribedil	dizziness
pirlindole	depression
piroctone-olamine	fungal infection
piroxicam	osteoarthritis
piroxicam	rheumatoid arthritis
pitavastatin	hyperlipidemia
pivagabine	depression
pivampicillin	bronchitis
pivampicillin	pneumonia
pivampicillin	gynecologic infections
pivmecillinam	urinary tract infections
pivmecillinam	gram-negative bacterial infections
pixantrone	non-Hodgkin lymphoma (NHL)
pizotifen	migraine headache
plerixafor	non-Hodgkin lymphoma (NHL)
plerixafor	multiple myeloma
plicamycin	testicular carcinoma
plicamycin	Paget's disease
plicamycin	hypercalcemia
podophyllotoxin	genital warts
polidocanol	varicose veins
polymyxin-b-sulfate	eye infection
polythiazide	edema
polythiazide	congestive heart failure
polythiazide	hepatic cirrhosis
polythiazide	nephrotic syndrome
polythiazide	acute glomerulonephritis (AGN)
polythiazide	chronic renal failure
polythiazide	hypertension
pomalidomide	multiple myeloma
ponatinib	chronic myeloid leukemia (CML)
ponatinib	acute lymphoblastic leukemia (ALL)
posaconazole	oropharyngeal candidiasis
potassium-canrenoate	edema
potassium-iodide	asthma
potassium-iodide	bronchitis
potassium-iodide	emphysema
potassium-p-aminobenzoate	scleroderma
potassium-p-aminobenzoate	dermatomyositis
potassium-p-aminobenzoate	Peyronie's disease
pralatrexate	peripheral T-cell lymphoma (PTCL)
pralidoxime	organophosphate poisoning
pralidoxime-chloride	respiratory depression
pramipexole	Parkinson's Disease
pramiracetam	senile dementia
pramoxine	corticosteroid-responsive dermatoses
pranlukast	bronchospasm
pranlukast	asthma
pranoprofen	pain relief
prasugrel	myocardial infarction
prasugrel	acute coronary syndrome (ACS)
pravastatin	hypercholesterolemia
pravastatin	myocardial infarction
pravastatin	hyperlipidemia
praziquantel	gastrointestinal parasites
praziquantel	cystic hydatid disease
praziquantel	schistosomiasis
prazosin	hypertension
prednicarbate	eczema
prednicarbate	contact dermatitis
prednicarbate	itching
prednisolone	conjunctivitis
prednisolone	rosacea
prednisolone	punctate keratitis
prednisolone	shingles
prednisolone	iritis
prednisolone	cyclitis
prednisolone-acetate	conjunctivitis
prednisolone-acetate	rosacea
prednisolone-acetate	punctate keratitis
prednisolone-acetate	shingles
prednisolone-acetate	iritis
prednisolone-acetate	cyclitis
prednisolone-sodium-phosphate	allergic rhinitis
prednisolone-sodium-phosphate	asthma
prednisolone-sodium-phosphate	contact dermatitis
prednisolone-sodium-phosphate	mycosis
prednisolone-sodium-phosphate	lupus
prednisolone-sodium-phosphate	hypercalcemia
prednisolone-sodium-phosphate	thyroiditis
prednisolone-sodium-phosphate	congenital adrenal hyperplasia
prednisolone-sodium-phosphate	multiple sclerosis
prednisolone-sodium-phosphate	ulcerative colitis
prednisolone-sodium-phosphate	enteritis
prednisolone-sodium-phosphate	thrombocythemia
prednisolone-sodium-phosphate	pneumonia
prednisolone-sodium-phosphate	meningitis
prednisolone-sodium-phosphate	psoriatic arthritis
prednisolone-sodium-phosphate	rheumatoid arthritis
prednisone	congenital adrenal hyperplasia
prednisone	hypercalcemia
prednisone	rheumatoid arthritis
prednisone	psoriatic arthritis
prednisone	ankylosing spondylitis
prednisone	bursitis
prednisone	osteoarthritis
prednisone	epicondylitis
prednisone	dermatomyositis
prednisone	psoriasis
prednisone	mycosis
prednisone	conjunctivitis
prednisone	anemia
prednisone	ulcerative colitis
prednisone	enteritis
prednisone	multiple sclerosis
prednisone	meningitis
pregnenolone	rheumatoid arthritis
pridinol	muscle relaxant
prilocaine	anesthetic
primaquine	malaria
primidone	seizures
probenecid	hyperuricemia
probenecid	gout
probucol	coronary artery disease (CAD)
procainamide	ventricular arrhythmias
procainamide	ventricular tachycardia (VT)
procaine	anesthetic
procarbazine	Hodgkin's lymphoma
procaterol	asthma
prochlorperazine	nausea
prochlorperazine	vomiting
procyclidine	parkinsonism
procyclidine	Parkinson's Disease
procyclidine	akathisia
procyclidine	dystonia
profenamine	Parkinson's Disease
progesterone	infertility
progesterone	amenorrhea
proglumetacin	pain relief
proguanil	malaria
promazine	schizophrenia
promestriene	androgenetic alopecia
promethazine	sedative
promethazine	allergic rhinitis
propacetamol	fever
propacetamol	pain relief
propafenone	atrial fibrillation (AF)
propafenone	ventricular tachycardia (VT)
propafenone	ventricular arrhythmias
propagermanium	hepatitis B
propantheline	peptic ulcer disease (PUD)
propatylnitrate	angina pectoris
propentofylline	stroke
propiolactone	antiseptic
propiverine	urinary incontinence
propofol	anesthetic
propoxur	flea control
propoxycaine	anesthetic
propranolol	hypertension
propranolol	angina pectoris
propranolol	migraine headache
propylhexedrine	nasal congestion
propylhexedrine	fever
propylhexedrine	allergic rhinitis
propylthiouracil	hyperthyroidism
propylthiouracil	Grave's disease
propylthiouracil	goiter
proquazone	pain relief
proscillaridin-a	congestive heart failure
proscillaridin-a	cardiac arrythmia
protionamide	tuberculosis
protirelin	thyroid function diagnostic
protriptyline	depression
proxymetacaine	anesthetic
proxyphylline	asthma
prucalopride	constipation
prulifloxacin	urinary tract infections
prulifloxacin	bronchitis
prulifloxacin	diarrhea
psoralen	psoriasis
psoralen	eczema
psoralen	vitiligo
pyrantel	gastrointestinal roundworms
pyrantel-pamoate	hookworm
pyrantel-pamoate	tapeworm
pyrazinamide	tuberculosis
pyrethrins	flea control
pyridoxal	epilepsy
pyridoxine	vitamin B6 deficiency
pyrimethamine	malaria
pyrithione-zinc	dandruff
pyrithione-zinc	cosmetic
pyritinol	rheumatoid arthritis
pyritinol	senile dementia
pyrvinium-pamoate	pinworm
quercetin	fatigue
quercetin	allergic rhinitis
quercetin	drowsiness
quetiapine	schizophrenia
quetiapine	bipolar disorder
quinagolide	hyperprolactinemia
quinapril	hypertension
quinapril	congestive heart failure
quinapril	angioedema
quinaprilat	hypertension
quinaprilat	angioedema
quinestrol	menopause
quinethazone	hypertension
quinidine	malaria
quinidine	atrial fibrillation (AF)
quinidine	ventricular arrhythmias
quinine	malaria
quinine-ethyl-carbonate	malaria
rabeprazole	gastroesophageal reflux disease (GERD)
rabeprazole	duodenal ulcer disease
rabeprazole	Zollinger-Ellison syndrome
racecadotril	diarrhea
ractopamine	weight-gain aid
raloxifene	osteoporosis
raloxifene	breast cancer
raltegravir	human immunodeficiency virus (HIV-1)
raltitrexed	mesothelioma
ramatroban	coronary artery disease (CAD)
ramatroban	asthma
ramelteon	insomnia
ramifenazone	pain relief
ramifenazone	fever
ramipril	hypertension
ramosetron	nausea
ramosetron	vomiting
ramosetron	irritable bowel syndrome
ranitidine	heartburn
ranolazine	chronic stable angina
rasagiline	Parkinson's Disease
rebamipide	peptic ulcer disease (PUD)
rebamipide	gastritis
reboxetine	depression
regadenoson	myocardial perfusion imaging (MPI)
regorafenib	colorectal cancer
regorafenib	gastrointestinal stromal tumors (GIST)
repaglinide	diabetes mellitus
reserpine	hypertension
resorcinol	acne vulgaris (AV)
resorcinol	eczema
resorcinol	psoriasis
resorcinol	seborrheic dermatitis
retapamulin	impetigo
retinaldehyde	cosmetic
retinol	cosmetic
retinol	acne vulgaris (AV)
retinol	keratosis
revaprazan	gastritis
ribavirin	hepatitis C
ribociclib	breast cancer
riboflavin	jaundice
ribostamycin	human immunodeficiency virus (HIV-1)
ribostamycin-sulfate	gram-negative bacterial infections
rifabutin	human immunodeficiency virus (HIV-1)
rifampin	tuberculosis
rifampin	meningitis
rifamycin	tuberculosis
rifamycin	leprosy
rifapentine	tuberculosis
rifaximin	diarrhea
rifaximin	irritable bowel syndrome
rifaximin	hepatic encephalopathy (HE)
rilmenidine	hypertension
rilpivirine	human immunodeficiency virus (HIV-1)
riluzole	amyotrophic lateral sclerosis (ALS)
rimantadine	influenza A virus infection
rimexolone	anterior uveitis
riociguat	hypertension
ripasudil	glaucoma
ripasudil	ocular hypertension
risedronate	osteoporosis
risedronate	Paget's disease
risperidone	schizophrenia
risperidone	bipolar disorder
risperidone	irritability
ritodrine	premature labor
ritonavir	human immunodeficiency virus (HIV-1)
rivaroxaban	stroke
rivaroxaban	systemic embolism
rivaroxaban	atrial fibrillation (AF)
rivaroxaban	deep vein thrombosis (DVT)
rivaroxaban	pulmonary embolism (PE)
rivastigmine	Alzheimer's disease
rivastigmine	Parkinson's Disease
rivastigmine	senile dementia
rizatriptan	migraine headache
rocuronium	anesthetic
roflumilast	chronic obstructive pulmonary disease (COPD)
roflumilast	bronchitis
rolitetracycline	gram-negative bacterial infections
rolitetracycline	gram-positive bacterial infections
romidepsin	cutaneous T-cell lymphoma (CTCL)
ronidazole	histomoniasis
ronidazole	dysentry
ropinirole	Parkinson's Disease
ropinirole	restless leg syndrome
ropivacaine	anesthetic
rose-bengal	diagnostic agent
rose-bengal-lactone	staining agent
rosoxacin	urinary tract infections
rosuvastatin	hyperlipidemia
rosuvastatin	dyslipidemia
rosuvastatin	hypertriglyceridemia
rosuvastatin	hypercholesterolemia
rosuvastatin	atherosclerosis
rotigotine	Parkinson's Disease
rotigotine	restless leg syndrome
rotundine	anxiety
rotundine	sedative
roxarsone	weight-gain aid
roxatidine-acetate	Zollinger-Ellison syndrome
roxatidine-acetate	erosive esophagitis (EE)
roxatidine-acetate	gastroesophageal reflux disease (GERD)
roxatidine-acetate	gastritis
roxithromycin	respiratory tract infections
roxithromycin	urinary tract infections
roxithromycin	skin infections
rufinamide	seizures
rufloxacin	gram-negative bacterial infections
rupatadine	allergic rhinitis
rupatadine	urticaria
rutin	joint pain
rutin	nasal congestion
rutin	constipation
rutin	irritability
rutin	allergic rhinitis
ruxolitinib	myelofibrosis
ruxolitinib	polycythemia vera
sacubitril	congestive heart failure
safinamide	Parkinson's Disease
salicylamide	pain relief
salicylamide	fever
salicylic-acid	acne vulgaris (AV)
salicylic-acid	fever
salicylic-acid	pain relief
salinomycin	coccidiosis
salmeterol	asthma
salmeterol	chronic obstructive pulmonary disease (COPD)
salmeterol	bronchospasm
sapropterin	hyperphenylalaninemia (HPA)
saquinavir	human immunodeficiency virus (HIV-1)
sarafloxacin	gram-negative bacterial infections
sarafloxacin	gram-positive bacterial infections
saroglitazar	diabetes mellitus
saroglitazar	dyslipidemia
saroglitazar	non-alcoholic steatohepatitis (NASH)
sarpogrelate	diabetes mellitus
sarpogrelate	angina pectoris
sarpogrelate	Raynaud's disease
sarpogrelate	atherosclerosis
sarpogrelate	Buerger's disease
sasapyrine	osteoarthritis
sasapyrine	rheumatoid arthritis
saxagliptin	diabetes mellitus
scmc-lys	chronic obstructive pulmonary disease (COPD)
scopolamine	motion sickness
scopolamine	vomiting
scopolamine	nausea
secalciferol	bone fracture
secnidazole	protozoan infection
selamectin	flea control
selegiline	Parkinson's Disease
selexipag	pulmonary arterial hypertension (PAH)
selinexor	multiple myeloma
sennoside-a	constipation
seratrodast	asthma
serotonin	anxiety
serotonin	depression
serotonin	sleeplessness
sertaconazole	tinea pedis
sertraline	depression
sertraline	obsessive compulsive disorder (OCD)
sertraline	panic disorders
sertraline	posttraumatic stress disorder
sertraline	premenstrual syndrome
sertraline	social anxiety disorder
setiptiline	depression
sevoflurane	anesthetic
sildenafil	erectile dysfunction
silibinin	hepatic cirrhosis
silodosin	benign prostatic hyperplasia (BPH)
silver-sulfadiazine	sepsis
simeprevir	hepatitis C
simvastatin	hypercholesterolemia
simvastatin	coronary heart disease
simvastatin	myocardial infarction
simvastatin	stroke
simvastatin	hyperlipidemia
siponimod	multiple sclerosis
sirolimus	organ rejection
sirolimus	lymphangioleiomyomatosis
sisomicin	conjunctivitis
sisomicin	punctate keratitis
sisomicin-sulfate	gram-negative bacterial infections
sitafloxacin	buruli ulcer
sitagliptin	diabetes mellitus
sivelestat	acute lung injury
sn-38	colorectal cancer
sobrepin	chest congestion
sobuzoxane	peripheral T-cell lymphoma (PTCL)
sodium-gualenate	peptic ulcer disease (PUD)
sodium-gualenate	pharyngitis
sodium-monofluorophosphate	cavities
sodium-nitrite	poison antidote
sodium-nitrite	cyanide poisoning
sodium-nitroprusside	hypertension
sodium-nitroprusside	congestive heart failure
sodium-picosulfate	constipation
sodium-stibogluconate	leishmaniasis
sodium-tetradecyl-sulfate	varicose veins
sofalcone	peptic ulcer disease (PUD)
sofosbuvir	hepatitis C
sofosbuvir	hepatitis C
solifenacin-succinate	urinary incontinence
solifenacin-succinate	urinary frequency
solriamfetol	narcolepsy
somatostatin	hemorrhage
sonidegib	basal cell carcinoma (BCC)
sorafenib	renal cell carcinoma (RCC)
sorafenib	thyroid cancer
sorafenib	hepatocellular carcinoma (HCC)
sorbitol	constipation
sotalol	atrial fibrillation (AF)
sotalol	ventricular arrhythmias
spaglumic-acid	allergic conjunctivitis
spaglumic-acid	allergic rhinitis
spectinomycin	airsacculitis
spectinomycin	chronic respiratory disease
spiperone	schizophrenia
spiramycin	toxoplasmosis
spiramycin	soft tissue infection
spironolactone	hyperaldosteronism
spironolactone	congestive heart failure
spironolactone	hepatic cirrhosis
spironolactone	nephrotic syndrome
spironolactone	hypertension
spironolactone	hypokalemia
stavudine	human immunodeficiency virus (HIV-1)
stiripentol	epilepsy
streptomycin	tuberculosis
streptozotocin	pancreatic cancer
strontium-ranelate	osteoporosis
strontium-ranelate	osteoarthritis
succinylcholine-chloride	muscle relaxant
sucralfate	duodenal ulcer disease
sulbactam	skin infections
sulbactam	intra-abdominal infections
sulbactam	gynecologic infections
sulbactam-pivoxil	skin infections
sulbutiamine	asthenia
sulconazole	tinea pedis
sulconazole	tinea cruris
sulconazole	tinea corporis
sulfabenzamide	gram-negative bacterial infections
sulfabenzamide	gram-positive bacterial infections
sulfacetamide	conjunctivitis
sulfachlorpyridazine	urinary tract infections
sulfadiazine	malaria
sulfadiazine	meningitis
sulfadiazine	urinary tract infections
sulfadiazine	conjunctivitis
sulfadiazine	trachoma
sulfadiazine	chancroid
sulfadoxine	malaria
sulfafurazole	urinary tract infections
sulfaguanidine	urinary tract infections
sulfamerazine	coccidiosis
sulfamerazine	cholera
sulfameter	urinary tract infections
sulfamethazine	enteritis
sulfamethizole	urinary tract infections
sulfamethoxazole	pneumonia
sulfamethoxazole	enteritis
sulfamethoxazole	urinary tract infections
sulfametopyrazine	malaria
sulfametopyrazine	urinary tract infections
sulfametopyrazine	respiratory tract infections
sulfamonomethoxine	urinary tract infections
sulfamoxole	urinary tract infections
sulfanilamide	vulvovaginal candidiasis
sulfanitran	coccidiosis
sulfaphenazole	urinary tract infections
sulfapyridine	gram-negative bacterial infections
sulfapyridine	gram-positive bacterial infections
sulfaquinoxaline	coccidiosis
sulfasalazine	ulcerative colitis
sulfathiazole	gram-negative bacterial infections
sulfathiazole	gram-positive bacterial infections
sulfinpyrazone	gout
sulfisoxazole-acetyl	meningitis
sulfisoxazole-acetyl	urinary tract infections
sulfisoxazole-acetyl	otitis
sulfisoxazole-acetyl	trachoma
sulindac	osteoarthritis
sulindac	rheumatoid arthritis
sulindac	ankylosing spondylitis
sulisobenzone	sunscreen lotion
sulmetozine	peptic ulcer disease (PUD)
sulphadimethoxine	gram-negative bacterial infections
sulphadimethoxine	gram-positive bacterial infections
sulpiride	schizophrenia
sultamicillin	gram-negative bacterial infections
sultamicillin	gram-positive bacterial infections
sumatriptan	migraine headache
sunitinib	gastrointestinal stromal tumors (GIST)
sunitinib	renal cell carcinoma (RCC)
sunitinib	neuroendocrine tumors of pancreatic origin (PNET)
suplatast	Kimura's disease
suramin	African trypanosomiasis
suramin	onchocerciasis
suxibuzone	joint pain
suxibuzone	muscle pain
synephrine	sinusitis
tacalcitol	psoriasis
tacalcitol	chapped lips
tacrine	Alzheimer's disease
tacrolimus	organ rejection
tadalafil	erectile dysfunction
tafamidis-meglumine	familial amyloid polyneuropathy (FAP)
tafenoquine	malaria
tafluprost	glaucoma
tafluprost	ocular hypertension
talazoparib	breast cancer
talinolol	hypertension
talipexole	genitial herpes
talniflumate	pain relief
taltirelin	spinocerebellar ataxia
tamibarotene	acute promyelocytic leukemia (APL)
tamoxifen	breast cancer
tamsulosin	benign prostatic hyperplasia (BPH)
tandospirone	generalized anxiety disorder (GAD)
tandospirone	dysthymic disorder
tannic-acid	constipation
tasimelteon	Non-24-Hour Sleep-Wake Disorder
taurine	anxiety
taurine	irritability
taurine	sleeplessness
taurolidine	catheter-related bloodstream infection
tavaborole	onychomycosis
tazarotene	cosmetic
tazarotene	sunscreen lotion
tazobactam	pneumonia
tebipenem	pneumonia
tebipenem	otitis
tecovirimat	smallpox
tedizolid	skin infections
tedizolid-phosphate	skin infections
teicoplanin	gram-positive bacterial infections
teicoplanin-a2-1	gram-positive bacterial infections
teicoplanin-a2-3	gram-positive bacterial infections
telaprevir	hepatitis C
telbivudine	hepatitis B
telithromycin	pneumonia
telmesteine	cough suppressant
telmisartan	hypertension
telotristat	diarrhea
telotristat-ethyl	diarrhea
temocapril	hypertension
temocapril	congestive heart failure
temocapril	diabetic nephropathy
temocapril	coronary artery disease (CAD)
temoporfin	head and neck squamous cell carcinoma (HNSCC)
temozolomide	glioblastoma
temozolomide	astrocytoma
temsirolimus	renal cell carcinoma (RCC)
teneligliptin	diabetes mellitus
teniposide	acute lymphoblastic leukemia (ALL)
tenofovir	human immunodeficiency virus (HIV-1)
tenofovir	hepatitis B
tenofovir-alafenamide	hepatitis B
tenofovir-disoproxil	human immunodeficiency virus (HIV-1)
tenofovir-disoproxil	hepatitis B
tenoxicam	rheumatoid arthritis
tenoxicam	osteoarthritis
tenoxicam	ankylosing spondylitis
tenoxicam	tendinitis
tenoxicam	bursitis
tenoxicam	periarthritis
tepoxalin	rheumatoid arthritis
tepoxalin	hip dysplasia
teprenone	cosmetic
terazosin	benign prostatic hyperplasia (BPH)
terazosin	hypertension
terbinafine	tinea pedis
terbinafine	tinea cruris
terbinafine	tinea corporis
terbutaline	bronchospasm
terbutaline	bronchitis
terbutaline	emphysema
terconazole	vulvovaginal candidiasis
terguride	Parkinson's Disease
teriflunomide	multiple sclerosis
terlipressin	hypotension
tetrabenazine	cholera
tetrabenazine	Huntington's disease
tetracaine	anesthetic
tetracycline	respiratory tract infections
tetracycline	pneumonia
tetracycline	skin infections
tetracycline	urinary tract infections
tetracycline	acne vulgaris (AV)
tetracycline	plague
tetracycline	psittacosis
tetrahydrozoline	eye irritation
tetramisole	gastrointestinal parasites
tezacaftor	cystic fibrosis
thalidomide	myeloma
thiamine	thiamine deficiency
thiamine-pyrophosphate	anemia
thiamphenicol	pelvic inflammatory disease
thiamylal	sedative
thiethylperazine	nausea
thiocolchicoside	muscle relaxant
thioctic-acid	diabetic nephropathy
thioguanine	acute myeloid leukemia (AML)
thiomersal	preservative
thiopental	anesthetic
thioproperazine	schizophrenia
thiostrepton	mastitis
thiotepa	breast cancer
thiotepa	ovarian cancer
thiotepa	bladder cancer
thiothixene	schizophrenia
thiram	contact dermatitis
thonzonium	ear infections
thonzylamine	itching
thymalfasin	hepatitis B
thymalfasin	hepatitis C
thymol	ringworm
thymol	antiseptic
tiabendazole	gastrointestinal roundworms
tiabendazole	hookworm
tiagabine	seizures
tianeptine	depression
tianeptine	asthma
tianeptine	irritable bowel syndrome
tiapride	dyskinesia
tiapride	abstinence from alcohol
tiapride	psychosis
tiaprofenic-acid	rheumatoid arthritis
tiaramide	asthma
tibolone	endometriosis
ticagrelor	acute coronary syndrome (ACS)
ticagrelor	myocardial infarction
ticarcillin	gram-negative bacterial infections
ticlopidine	thrombosis
ticlopidine	stroke
tigecycline	skin infections
tigecycline	pneumonia
tigecycline	intra-abdominal infections
tilmicosin	bovine respiratory disease (BRD)
tilorone	influenza A virus infection
tilorone	diarrhea
tilorone	hepatitis B
tilorone	multiple sclerosis
tilorone	urinary tract infections
tilorone	virus herpes simplex (HSV)
tilorone	hepatitis C
tiludronate	navicular syndrome
timolol	ocular hypertension
timolol	glaucoma
tinidazole	giardiasis
tinidazole	amebiasis
tinidazole	bacterial vaginosis
tinidazole	trichomoniasis
tinoridine	pain relief
tioconazole	yeast infection
tioguanine	acute myeloid leukemia (AML)
tioguanine	acute lymphoblastic leukemia (ALL)
tioguanine	chronic myeloid leukemia (CML)
tiopronin	kidney stones
tiotropium	chronic obstructive pulmonary disease (COPD)
tiotropium	bronchitis
tiotropium	emphysema
tipiracil	colorectal cancer
tipranavir	human immunodeficiency virus (HIV-1)
tiquizium	spasms
tiratricol	Refetoff syndrome
tirofiban	myocardial infarction
tirofiban	refactory angina
tivozanib	renal cell carcinoma (RCC)
tizanidine	spasms
tobramycin	bacterial septicemia
tobramycin	respiratory tract infections
tobramycin	meningitis
tobramycin	skin infections
tobramycin	urinary tract infections
tocainide	cardiac arrythmia
toceranib	cutaneous mast cell tumors
tocofersolan	cerebral cholesterosis
todralazine	hypertension
tofacitinib	rheumatoid arthritis
tofisopam	anxiety
tofisopam	abstinence from alcohol
tofogliflozin	diabetes mellitus
tolazamide	diabetes mellitus
tolazoline	reverse sedative
tolbutamide	diabetes mellitus
tolfenamic-acid	migraine headache
tolmetin	rheumatoid arthritis
tolmetin	osteoarthritis
tolnaftate	tinea pedis
tolnaftate	tinea corporis
tolonium	methemoglobinemia
toloxatone	depression
tolperisone	muscle relaxant
tolperisone	multiple sclerosis
tolperisone	encephalomyelitis
tolperisone	ankylosing spondylitis
tolperisone	atherosclerosis
tolperisone	Raynaud's disease
tolterodine	urinary incontinence
tolterodine	urinary frequency
toltrazuril	coccidiosis
tolvaptan	hyponatremia
tolvaptan	congestive heart failure
tolvaptan	hepatic cirrhosis
topiramate	epilepsy
topiramate	migraine headache
topiroxostat	gout
topiroxostat	hyperuricemia
topotecan	small cell lung cancer
topotecan	cervical cancer
torasemide	edema
torasemide	congestive heart failure
torasemide	hypertension
toremifene	breast cancer
tosufloxacin	gram-negative bacterial infections
trametinib	melanoma
trandolapril	hypertension
trandolapril	myocardial infarction
tranexamic-acid	hemophilia
tranilast	asthma
tranylcypromine	depression
trapidil	coronary artery disease (CAD)
travoprost	ocular hypertension
travoprost	glaucoma
trazodone	depression
trelagliptin	diabetes mellitus
treosulfan	ovarian cancer
trepibutone	irritable bowel syndrome
treprostinil	pulmonary arterial hypertension (PAH)
tretinoin	acute promyelocytic leukemia (APL)
triamcinolone	corticosteroid-responsive dermatoses
triamcinolone-acetonide	corticosteroid-responsive dermatoses
triamterene	hypokalemia
triamterene	hypertension
triamterene	edema
tricaprylin	cosmetic
trichlormethiazide	hypertension
trichlormethiazide	edema
trichloroacetic-acid	warts
triclabendazole	tapeworm
triclocarban	first-aid antiseptic
triclosan	first-aid antiseptic
tridihexethyl	peptic ulcer disease (PUD)
tridihexethyl	nystagmus
trientine	Wilson's disease
trifluoperazine	schizophrenia
triflupromazine	psychosis
triflupromazine	nausea
triflupromazine	vomiting
trifluridine	virus herpes simplex (HSV)
triflusal	stroke
triflusal	myocardial infarction
triflusal	atrial fibrillation (AF)
